domain,page_path,napo_page_category
www.napo.pet,/,organic
www.napo.pet,/dog-insurance,commercial
www.napo.pet,/cat-insurance,commercial
www.napo.pet,/dental-cover,commercial
www.napo.pet,/travel-cover,commercial
www.napo.pet,/lifetime-cover,commercial
www.napo.pet,/low-excess,commercial
www.napo.pet,/multipet,commercial
www.napo.pet,/direct-vet-payments,commercial
www.napo.pet,/blog,blog
www.napo.pet,/dachshund-pack,lead_generation
www.napo.pet,/puppy-checklist,lead_generation
www.napo.pet,/ambassadors/georgia-and-bean,brand_ambassador
www.napo.pet,/ambassadors/alex-and-the-pack,brand_ambassador
www.napo.pet,/ambassadors/patrycja-luna-and-lio,brand_ambassador
www.napo.pet,/ambassadors/chloe-louie-and-lance,brand_ambassador
