postcode_area,region
AB,Scotland
AL,East of England
B,West Midlands
BA,South West
BB,North West
BD,North West
BF,Non-geographic
BH,South West
BL,North West
BN,South East
BR,Greater London
BS,South West
BT,Northern Ireland
BX,Non-geographic
CA,North West
CB,East of England
CF,Wales
CH,North West
CM,East of England
CO,East of England
CR,Greater London
CT,South East
CV,West Midlands
CW,North West
DA,Greater London
DD,Scotland
DE,East Midlands
DG,Scotland
DH,North East
DL,North East
DN,East Midlands
DT,South West
DY,West Midlands
E,Greater London
EC,Greater London
EH,Scotland
EN,Greater London
EX,South West
FK,Scotland
FY,North West
G,Scotland
GIR,Non-geographic
GL,South West
GU,South East
GY,Channel Islands
HA,Greater London
HD,North West
HG,North East
HP,East of England
HR,West Midlands
HS,Scotland
HU,North East
HX,North West
IG,Greater London
IM,Isle of Man
IP,East of England
IV,Scotland
JE,Channel Islands
KA,Scotland
KT,Greater London
KW,Scotland
KY,Scotland
L,North West
LA,North West
LD,Wales
LE,East Midlands
LL,Wales
LN,East Midlands
LS,North East
LU,East of England
M,North West
ME,South East
MK,South East
ML,Scotland
N,Greater London
NE,North East
NG,East Midlands
NN,West Midlands
NP,Wales
NR,East of England
NW,Greater London
OL,North West
OX,South East
PA,Scotland
PE,East of England
PH,Scotland
PL,South West
PO,South East
PR,North West
QC,Non-geographic
RG,South East
RH,South East
RM,Greater London
S,East Midlands
SA,Wales
SE,Greater London
SG,East of England
SK,North West
SL,South East
SM,Greater London
SN,South West
SO,South East
SP,South West
SR,North East
SS,East of England
ST,West Midlands
SW,Greater London
SY,Wales
TA,South West
TD,Scotland
TF,West Midlands
TN,South East
TQ,South West
TR,South West
TS,North East
TW,Greater London
UB,Greater London
W,Greater London
WA,North West
WC,Greater London
WD,Greater London
WF,North East
WN,North West
WR,West Midlands
WS,West Midlands
WV,West Midlands
XX,Non-geographic
YO,North East
ZE,Scotland
